id_producto,id_categoria,nombre,precio,descripcion_producto,descuento,cantidad_disponible,valorInv
28,2,Botas de montaña,99.5,Botas de montaña con forro de Gore-Tex y suela antideslizante.,0.0,44,4975.0
3,1,Chaqueta de cuero,150.0,Chaqueta de cuero genuino con cierre de cremallera.,0.2,59,6000.0
43,3,Impresora HP,149.0,Impresora HP con conectividad Wi-Fi y capacidad de impresión a doble cara.,0.0,43,7450.0
40,3,Drone DJI Mavic Air 2,799.0,Drone DJI Mavic Air 2 con cámara 4K y tiempo de vuelo de hasta 34 minutos.,0.0,32,7990.0
16,2,Zapatos deportivos,79.99,Zapatos deportivos con suela de goma y material transpirable.,0.1,180,15998.0
10,1,Traje de bajo,50.0,Traje de bajo de dos piezas con estampado tropical.,0.0,91,5000.0
31,3,Televisor LED de 50 pulgadas,599.99,Televisor LED de 50 pulgadas con resolución Full HD y función Smart TV.,0.0,45,29999.5
41,3,Proyector Epson,499.99,Proyector Epson con resolución Full HD y 3600 lúmenes de brillo.,0.0,13,7499.85
25,2,Sandalias de tacón,55.0,Sandalias de tacón alto con tiras entrecruzadas y cierre de hebilla.,0.1,74,2475.0
12,1,Gorra de béisbol,12.5,Gorra de béisbol con logo bordado en la parte frontal.,0.0,434,6250.0
34,3,Cámara Nikon,699.0,Cámara Nikon con sensor CMOS de 24.2 megapíxeles y lente zoom de 18-55mm.,0.0,16,13980.0
2,1,Pantalón vaquero,45.5,Pantalón vaquero con corte recto y detalles desgastados.,0.1,242,10125.0
22,2,Zapatos de vestir,99.99,Zapatos de vestir con cierre de cordones y suela antideslizante.,0.0,139,14998.5
6,1,Falda plisada,29.99,Falda plisada de longitud media con estampado floral.,0.0,135,4498.5
32,3,Laptop HP,849.0,Laptop HP con procesador Intel Core i7 y pantalla de 14 pulgadas.,0.1,30,21225.0
46,4,Sofá gris,150.0,Sofá cómodo y elegante en color gris,0.1,438,75000.0
13,1,Jersey de punto,22.0,Jersey de punto con cuello redondo y diseño de ochos.,0.1,167,3960.0
17,2,Zapatillas de lona,29.5,Zapatillas de lona con cordones y suela de goma.,0.0,409,14750.0
30,2,Zapatillas de skate,69.0,Zapatillas de skate con suela plana y detalles de tela vaquera.,0.0,198,10350.0
4,1,Vestido de fiesta,75.99,Elegante vestido de fiesta con escote en V y falda de tul.,0.0,111,7599.0
45,3,Consola de videojuegos Xbox,499.0,Consola de videojuegos Xbox con capacidad de reproducción de juegos en 4K.,0.0,17,9980.0
39,3,Smartwatch Apple Watch,399.0,Smartwatch Apple Watch con pantalla Retina y GPS integrado.,0.0,27,11970.0
18,2,Botas de cuero,129.99,Botas de cuero genuino con forro de piel y cierre de cremallera.,0.0,86,9749.25
14,1,Parka acolchada,120.0,Parka acolchada con capucha y forro de piel sintética.,0.0,42,6000.0
36,3,Parlante portátil JBL,129.99,Parlante portátil JBL con conexión Bluetooth y batería recargable.,0.0,137,19498.5
47,4,Mesa de comedor,100.0,Mesa de comedor de madera resistente,0.0,187,20000.0
1,1,Camisa de algodón,25.99,Camisa de manga larga hecha de algod?n de alta calidad.,0.0,405,12995.0
26,2,Zapatillas de baloncesto,149.99,Zapatillas de baloncesto con suela de goma y amortiguación de aire.,0.0,21,3749.75
9,1,Pijama de algodón,15.99,Pijama de dos piezas hecho de algodón suave y transpirable.,0.0,384,6396.0
37,3,Smartphone Samsung Galaxy,599.0,Smartphone Samsung Galaxy con pantalla de 6.2 pulgadas y cámara trasera de 12 megapíxeles.,0.0,43,29950.0
35,3,Reproductor de Blu-ray LG,69.99,Reproductor de Blu-ray LG con capacidad de reproducción de discos en 3D.,0.05,167,13998.0
7,1,Abrigo de lana,99.99,Abrigo de lana con cierre de botones y solapas amplias.,0.15,92,7499.25
44,3,Monitor de 27 pulgadas,299.99,Monitor de 27 pulgadas con resolución Quad HD y tiempo de respuesta de 1ms.,0.0,30,8999.7
24,2,Botines de cuero,89.99,Botines de cuero con tacón bajo y cierre de cremallera lateral.,0.0,80,6749.25
19,2,Sandalias de playa,15.0,Sandalias de playa con plantilla de espuma y correas ajustables.,0.0,279,4500.0
15,1,Camiseta de tirantes,10.99,Camiseta de tirantes básica en varios colores.,0.0,407,5495.0
23,2,Zapatillas de running,119.0,Zapatillas de running con amortiguación y soporte para el arco.,0.0,128,11900.0
20,2,Mocasines de ante,69.99,Mocasines de ante con detalles de borlas y suela de goma.,0.0,95,6999.0
29,2,Mocasines de cuero,59.99,Mocasines de cuero con detalle de lazo y suela de goma.,0.15,176,5099.0
42,3,Teclado mecánico Logitech,99.99,Teclado mecánico Logitech con retroiluminación RGB y reposamuñecas desmontable.,0.0,90,9999.0
